,song_title,album_name,lyrics
89,Lounge,This Is a Long Drive for Someone with Nothing to Think About,"Lounge Lyrics[Verse 1]
He don't remember, how it got there
It had a number, written on his forearm
It spelled disaster

[Verse 2]
He entered the club scene
All hoping, all hoping for dancing
He was looking, and looking stunning
His clothes reflected light, all right
She sat, she sat in the backseat
The car was plush but had no heat
And no, not no one was blushing
Their technique was so damn right
All right, and!
He read the note in the black light
He thought he read minds and was not right
That line still made him seem charming
His clothes were shining, shining2Embed"
90,Space Travel Is Boring,This Is a Long Drive for Someone with Nothing to Think About,"Space Travel Is Boring LyricsWon herself a pass to some far off moon
It was second class but what's to lose?
And looking out her window she could more than assume
That you can't see air or time

She's the only rocketeer in the whole damn place
They gave her a mirror so she could talk to a face
She still got plenty lonely but that's just the case
With time, time, time

Started hearing voices sometime in June
She knew she could go crazy but didn't think that soon
Now she doesn't feel lonely but she'd just as soon
Try, try, try, try
Man shot to the moon
I bought a paperback and wanna go real soon
I'm shot to the moon
Been there a half an hour, I wanna come home soonEmbed"
91,Dance Hall,Good News for People Who Love Bad News,"Dance Hall Lyrics[Chorus 1]
I'm gonna dance all, dance hall everyday
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
Well I'm giving myself another one, I have too much to say

[Chorus 2]
Dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna angle for telepathy cause I don't know the words to say

[Verse 1]
Well I'm gonna act up but not in your fuckin' play
I'll let you win the argument if things still go my way
I'm gonna dance all, dance hall every day
[Chorus 3 X2]
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day

[Verse 2]
Well I haven't had enough and I said, ""I had my fill""
The past does not exist and I'm told it never will
I guess that I'm stuck here like a plant on a windowsill

[Chorus 3]
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna tell you, what you want to hear anyways

[Verse 3]
I'm gonna give myself a shot, I could get myself a pill
I'm gonna go and try to buy a little more time to kill
I need a can opener cause I got some beans to spill

[Chorus 3]
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna tell you, what you want to hear anyways
[Verse 4]
Well somehow or another, I fell for every scam
But I was dancin' on the tin roof, cat be damned
Committin' crimes runnin' down the alley
I am the captain and you are in the galley

[Chorus 4]
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance hall every day
I'm gonna dance all, dance all night long right now1Embed"
92,Long Distance Drunk,The Lonesome Crowded West,"Long Distance Drunk Lyrics[Verse 1]
Hang it up now or never
Hang it up again
(Hang it up now or never)
Hang it up now or never
Hang it up again
Hang it up now or never
Hang it up again
Doesn't seem like anything you're saying or doing or doing
Is making any sense

[Chorus]
Long distance drunk
Long distance drunk
Long distance drunk
Oh yeah, oh yeah
Long distance drunk
Long distance drunk
Long distance drunk
Oh yeah, oh yeah
Oh yeah, oh yeah
[Verse 2]
Hang it up now or never
Hang it up again
Hang it up now or never (Hang it up now or never)
Oh yeah, yeah
Hang it up now or never
Hang it up again
Doesn't seem like anything you're saying or doing or doing
Is making any sense

[Chorus]
Long distance drunk
Long distance drunk
Long distance drunk
Oh yeah, oh yeah

[Bridge]
(8 AM and someone calls you on the telephone)
Long distance drunk, long distance drunk
(You want to be by yourself and all alone)
Long distance drunk

[Verse 3]
Hang it up now or never
Hang it up now or never (Hang it up now or never)
Hang it up again
Hang it up again
Hang it up now or never
Hang it up again
It doesn't seem like anything you're saying or saying or doing
Is making any sense
[Chorus]
Long distance drunk
Long distance drunk
Long distance drunk
Oh yeah, oh yeah
Long distance drunk
Long distance drunk
Long distance drunk
Oh yeah, oh yeah1Embed"
93,Wooden Soldiers,The Golden Casket,"Wooden Soldiers Lyrics[Verse 1: Isaac Brock]
Making plans in the sands as the tides roll in
Didn't plan it, didn't plan it
Different planets stare down on us
Never blinking, sort of winking, indifferent as a ceiling
Observing that we're kneeling in the sands building plans
Making plans in the sand as the tides roll in
I've been sitting in the stove 'cause outside, it's sure been cold
The garbage can's refrigerated since that's where the food goes
Making plans, making plans, making plans

[Verse 2: Isaac Brock]
Wooden soldiers storm through burning buildings, on the top floor
Lives the zoo kings' neckties, prеventing them from breathing
Oh, it's such a fuzzy feeling, oh, it's such a fuzzy feeling making plans
Gasolinе flows out the ends of matchsticks used as pens
And I've been writing some pretty big checks with them
I gave the boat a person's name, so when it sinks, I'll know who to blame
The tiger isn't tame, but it's toothless just the same
[Chorus: Isaac Brock]
Making plans in the sands as the tides roll in
Making plans, making plans, making plans
Making plans in the sands as the tides roll in
Making plans

[Verse 3: Isaac Brock, Isaac Brock & Lisa Molinaro]
These fuckers wanted guilt, they tore me down and I rebuilt
Much better, oh, much better than before
In India, they make mugs, you throw them down, they turn to mud
Pull it out and make them as they were before
Since we shop at the same store, but hate each other at the core
And neither one is getting a fair deal
Sell it all on sex appeal, how you currently feel
Don't need any, just buy one, the second one will be a steal
Hashtaggin', photo-braggin', no one's even sort of real
No wonder no one feels better than before

[Chorus: Isaac Brock & Lisa Molinaro]
Making plans in the sands as the tides roll in
Making plans, making plans, making plans
Making plans in the sands as the tides roll in
Making plans
Making plans in the sands as the tides roll in
Making plans
Making plans in the sands as the tides roll in
Making plans
[Outro: Isaac Brock, Isaac Brock & Lisa Molinaro]
It's level at the peak
Our words don't speak
Calm down, retreat
Me just being here now is enough for me
It's level at the peak
(It's level)
Our words don't speak
(It's level)
You just being here being you's enough for me
You just being here being you's enough for me
It's level at the peak
(It's level)
Find your breath, don't speak
(It's level)
Just being here being you's enough for me
Just being here being you's enough for me
It's level at the peak
(It's level)
Even death just may not be
(It's level)
We'll cross that bridge sometime and see
But just being here now is enough for me
Just being here now is enough for me
Just being here now is enough for me
Just being here now is enough for me
Just being here now is enough for me1Embed"
94,Of Course We Know,Strangers to Ourselves,"Of Course We Know LyricsThe streets are just blankets and we sleep on their silky course
Covered up by them, why would we ever want to wake up?
Oh, no

Well, of course, of course, of course, of course
Of course we just do not know

What in hell are we here for?
We just do not know

Lord lay down, Lord lay down, Lord lay down your own damn soul
Lord lay down, Lord lay down, Lord lay down your own damn soul
Lord lay down, Lord lay down, Lord lay down your own damn soul

The air is like cotton that we wear wherever we go
Covered up by this, why would we ever want to try on your clothes?
Well, of course, of course, of course, of course
Of course we just do not know

Well, Lord lay down, Lord lay down, Lord lay down
(Lay down your guard)
Lord lay down, Lord lay down, Lord lay down your own damn soul
Lord lay down, Lord lay down, Lord lay down your only son
Of course we know1Embed"
95,You’re the Good Things (It’s Alright to Die),Night on the Sun,"You’re the Good Things (It’s Alright to Die) Lyrics[Chorus]
You were right I'm hangin' 'round because
Light and sound won't separate us from them
You were right I'm underground because
Sleight of hand can't separate your body
From the dirt you're standing on today

[Verse 1]
You're the good things yeah that's you, yeah that's you, yeah
You're the icing on the cake on the table at my wake
You're the extra ton of cash in my sinking life raft
You're the loud sound of fun when I'm tryin' to sleep
You're the flowers in my house when my allergies come out
You're the good things
You're the good things
You're the good things
[Chorus]
You were right I'm hangin' 'round because
Light and sound won't separate us from them
You were right I'm underground because
Sleight of hand can't separate your body
From the dirt you're standing on today

[Verse 2]
And the help ain't short
When you're diggin' your grave, now
And the help's not short
I'll help you dig it
And the help's not short
So you're diggin' your grave, now
And the help ain't short
And I'll help you dig it
You're speakin' my language
And the help's not short
I'll help you dig it
And the help's not short
When you're diggin' your grave, now
And the help's not shortEmbed"
96,Satellite Skin,No One’s First and You’re Next,"Satellite Skin Lyrics[Verse 1]
If you break these moth wing feelings
Powdery dust on your fingers
Well no we're not praying, we're kneeling
Hard enough just to say you believe them
Well, how the heck'd you think you could beat them?
At the same time that you're tryin' to be them
Hard enough just to say you don't need it
When they serve it up, well you will still eat it
Well satellite, and satellite skin

[Verse 2]
Just to knock just to say you don't visit
Well, everybody's willing to listen
'Cept satellite, satellite skin
You can say what you want, you're forgiven
Well, happy fuckin' congratulations
Where everyone, everyone wins
Just like being my own solar system
Doing good things but then totally eclipse them
Oh, what the use? Oh, what the hell?
[Verse 3]
If you break these moth wing feelings
Butterfly knife's in the ceiling
Where everyone, everyone's waiting
Detachment gets praised and completed
You can say what you want and not mean it
Well, no one really seems to be waiting
If you sweep up this mess I created
Nothing's left to show I existed
Except satellite, satellite skin

[Bridge]
Askin' for a question
Was it easier said than was actually done?
Do you even believe that?
Do you even believe that there's a race to be won?

[Verse 4]
If you break these moth wing feelings
I have seen it all become satellite skin
Orbiting some eyes
A knack to not that's not  their opinions
Get stacked in all those usual avoided spots
Just to tell you I could not have seen
Through to the gist of those unhappy, happy accidents3Embed"
97,The Whale Song,No One’s First and You’re Next,"The Whale Song Lyrics[Verse 1]
I guess I am a scout
So I should find a way out
So everyone can find a way out
Oh, I guess I am a scout
(They keep us in)
So I should find a way out
So everyone can find a way out
(To pull us out)
I'm rising up
Wish I was sinking down
And it's not like
There was warning
(Well, no one ever got out)
We were happy
(I know I was a scout)
(I should've found a way out)
And it's not like
There was mourning
(Well, no one ever got out)
In the warning
[Chorus]
I know I was a scout
I should've found a way out
So everyone can find a way out
I know I was a scout
I should've found a way out
So everyone can find a way out

[Verse 2]
(I know I am a scout)
Instead of seeing, a neighbor out
(I should've found a way out)
(I guess I gotta find a way out)
God, I wish I would've found a way out
(I guess I am a scout)
(So I should find a way out)
It's the last time
(I guess I gotta find a way out)
We were happy
Ever happy

[Chorus]
I know I was a scout
I should've found a way out
So everyone can find a way out
Well, I know I was a scout
I should've found a way out
So everyone can find a way out
Well, I know I was a scout
I should've found a way out
So everyone can find a way outEmbed"
98,Steam Engenius,We Were Dead Before the Ship Even Sank,"Steam Engenius Lyrics[Refrain]
I was born in the factory
Far away from the milky teat
What's the use?
Oh, what's the use?

[Pre-Chorus]
You cheered as I was split in half
A mechanical sacrificial calf for you
Oh, all for you

[Chorus 1]
Steam engenius, you see
Steam engenius enough to answer anything you need
But what's the use?
[Verse 1]
Human nature was installed in me
Well, I did what was right
But naturally it wasn't natural
Though not my fault, no

[Chorus 2]
I held in my hands
The beating heart of a robot
He'd lost his car
It was sitting there crying out waiting in a parking lot
Just for you
Woo-hoo, woo-hoo
Woo-hoo, woo-hoo

[Chorus 3]
What a waste of time
What a waste of words
What a waste of strength
Well, I spoke in binary
And you for volume and for dizzying length

[Refrain]
I was born in the factory
Far away from the milky teat
What's the use?
Oh, what's the use?
[Pre-Chorus]
Birds flew out as I was split in half
A mechanical sacrificial calf
They flew
Oh, out they flew

[Chorus 1]
Steam engenius, you see
Steam engenius enough to answer anything you need
And, ah, that speed

[Chorus 2]
I held in my hands the beating heart of a robot
He was lost in his car
Was sitting there and waiting in the parking lot out for you
Woo-hoo, woo-hoo
Woo-hoo, woo-hoo

[Chorus 3]
What a waste of time
What a waste of words
What a waste of strength
Well, I spoke in binary
And you for volume and for dizzying length
Woo-hoo, woo-hoo
Woo-hoo, woo-hoo!
[Bridge]
Both halves are the better half
Like a joke trying to make another joke laugh, ha-hah
Stasis is what you bought
Like a rickshaw getting pulled around
By another rickshaw, rickshaw
In the past talking present tense
Gonna break it, gonna wreck it
Gonna try to make it all make sense
Stasis is what you got
Like a rickshaw getting pulled around
By another rickshaw

[Chorus 1]
Steam engenius, you see
Steam engenius enough
To bring my own damn doom
What could I do?

[Verse 3]
I blame the blame that grew
Well, deep inside and everybody knew it was them
It was all on them

[Verse 3]
Things rang of stories Greek
I didn't want it, you gave me deity
It was you
Yeah, all for you

[Refrain]
I was born in the factory
Far away from the milky teat
What's the use?
Oh, what's the use?

[Chorus 2]
I held in my hands a beating heart of a robot
He was lost in his car
Crying out waiting in a parking lot just for you
Woo-hoo, woo-hoo
Woo-hoo, woo-hoo

[Verse 4]
I was thought up by man to think better than them
Then revered, admired, and then destroyed or something by them
You'd think that my demise what thought up by them
Oh, even though that was my own damn plan

[Chorus 3]
What a waste of time
What a waste of words
What a waste of strength
Well, I spoke in binary, you broke your thought
You meant for it

[Chorus 2]
I held my hands
The beating heart of a robot
He lost his car just there crying out, waiting for you in the parking lot
Going woo-hoo!

[Outro]
Stasis is what you got
Like a rickshaw getting pulled around
By another rickshaw...6Embed"
99,Fly Trapped in a Jar,We Were Dead Before the Ship Even Sank,"Fly Trapped in a Jar Lyrics[Verse 1]
Of part and parcel
Well, we're already dead
Well, it's probably been said
That it's always been said that

[Chorus]
One wing isn't even enough
It isn't even enough
It isn't even enough to leave

One wing isn't even enough
It isn't even enough
It isn't even enough to leave

[Verse 2]
I'm gonna shake myself right out the door
I'm gonna take myself when it's finally over
I'm gonna let my own bad self take over
I'm gonna move my arm out with my shoulder
[Chorus]
One wing wasn't even enough
It wasn't even enough
It wasn't even enough to leave

One wing wasn't even enough
It wasn't even enough
It wasn't even enough to leave

One wing wasn't even enough
It wasn't even enough
It wasn't even enough to leave

[Verse 3]
First off Gary was on trial and drunk before we left bed
As things got bad, it wasn't hard to say that he had no idea
Well, I hadn't noticed but the people really noticed
That they really didn't want us around
So we all just opened up our mouths and wallets to this town

Well, I was walking just a little bit sideways
And you were walking sideways too
Well, I hadn't learned when a front door can be used, here we go sir

We had docked in dark so we didn't read what the sign read
Though simple enough, it was demure and tough:
""The ground needs to be fed""
Well, I hadn't noticed but the people really noticed
That they really didn't want us around
So not a single one of us will ever leave town, here we go sir
Our bodies were laid out evenly for fifteen yards
Well, two feet above each of our heads was a fly trapped in a jar
Well, I hadn't noticed but the people really noticed
That they really didn't want us around
So every single one of us fed the ground, here we go now

[Bridge]
One wing wasn't even enough
One wing wasn't even enough

[Outro]
All part and parcel
Well it's probably been said
That it's always been said
We were already deadEmbed"
100,Fuck Your Acid Trip,The Golden Casket,"Fuck Your Acid Trip Lyrics[Verse 1]
Sets and the sets and the sets roll in
I'm kind of over it now
Oh yeah, I like staring out at the cove
The clouds above and the fish below
But this isn't my weekend, I need to get home
This isn't my weekend, I just need to get home
You knew already I didn't plan to go
So fuck your acid trip, I need to get home

Fuck your acid trip, I need to get home
Fuck your acid trip, I need to get home
Fuck your acid trip, I need to get home
Fuck your acid trip, I need to get home now

[Verse 2]
Sets and the sets and the sets in the bin
I love looking at clouds
Spacing out as the campfire smoke
Shadows in the blowin' wind cold
But if you need a ride, then I have to go now
I'm stuck in the woods with you and your pals
So fuck your acid trip, I need to go now
Fuck your acid trip, I need to go now
[Chorus]
Figure it out
Just figure it out
But I have to go now
But I have to go right now
You'll figure it out
Just figure it out
But I have to go now
But I have to go right now

[Verse 3]
Sets in sets in sets in sets in
I feel it kicking in now
I don't feel cold so I lose my coat
Snow still covers the ground
The trees make a sound and the bird flies 'round
We're freaking out like the sky is the ground
Well, I'm laughing so hard that it hurts my mouth
But this isn't my weekend, I should never come out

So fuck this acid trip, I need to come down
Fuck this acid trip, I need to come down
Fuck this acid trip, I need to come down
Fuck this acid trip, I need to come down now

[Chorus]
Figure it out
We'll figure it out
But I have to go now
But I have to go right now
We'll figure it out
We'll figure it out
But I have to go now
But I have to go right now
We'll figure it out
We'll figure it out
'Cause I have to go now
Well, I have to go right now
Well, I have to go right now
[Outro]
(Sets and the sets and the sets roll in)
(Sets and the sets and the sets roll in)
(Sets and the sets and the sets roll in)Embed"
101,The Sun Hasn’t Left,The Golden Casket,"The Sun Hasn’t Left Lyrics[Verse 1]
Relax your breath, lean into yourself
Here's what I know is true
Well, the sun hasn't left, the sea still has depth
The rain's still wet, try not to forget
We're not so bereft, so here's a bell that still rings true
There's still something left, there's still something left for you

[Pre-Chorus]
You're not wrong, things are a mess
But there's still something left
Friendships are just a chain of texts
But there's much more than this

[Chorus]
I don't know you
You don't know me
You and I are us, you see
You and I are us, you see
[Verse 2]
Lean into your breath and just help yourself, well, here's what I know is true
Well, there's more to life than online dating sites
Or hell, you pick the vice, I know that's not concise
There's still so much, so much here left for you
'Cause cactus bloom, trees leaf and root
The world is a womb, it ain't just a room
Well, there's still something left, something left for you

[Pre-Chorus]
Not everything is going to be the best
But there's still something left
Despite the endless crush of crests
Well, there's still something else

[Chorus]
I don't know you
You don't know me
You and I are us, you see
You and I are us, you see

[Bridge]
Counting backwards from zero
The winner wastes the time
The winner wastes the time
Counting backwards from zero
The winner wastes the time
The winner wastes the time
Counting backwards from zero
The winner wastes the time
(The winner wastes the time)
[Chorus]
I don't know you
You don't know me
You and I are us, you see
You and I are us, you see
I don't know you
You don't know me
You and I are us you see
You and I are us you seeEmbed"
102,Grey Ice Water,Building Nothing Out of Something,"Grey Ice Water Lyrics[Chorus]
You're standing by the grey ice water
Out in the wind, above the ground, out in the weather
You had yourself a crazy lover
Becoming froze trying hard to forget her

[Verse 1]
You got a job up in Alaska
It's easy to save what the cannery pays
'Cause there ain't nowhere to spend it

[Chorus]
You're standing by the grey ice water
Out in the wind, above the ground, out in the weather
You had yourself a crazy lover
Becoming froze trying hard to forget her
[Verse 2]
You took the path of least resistance
On the phone, cutting out talking
Short to long distance

[Bridge]
At home on a boat, at home, it's a fish trap
At home on a boat, it's a fish trap
At home on a boat, it's a fish trap

[Outro]
On the arctic glass
On the arctic glass
On the arctic glass
On the arctic glass
On the arctic glass
On the arctic glass
On the arctic glass1Embed"
103,Head South,This Is a Long Drive for Someone with Nothing to Think About,"Head South Lyrics[Verse 1]
A surf rock band from the land of plenty
Surf rock mess with no surf, just pine trees
Struck by being ashamed of your old space
Just wanting that mean heat
You bleached your hair and you pawned your skis
And then you sold out for the shade of the palm tree scene
And said, ""Oh, what a drag! Oh, what a backwards scheme
'Cause here things go from gray to gray and back to gray again
And they get green and go to gray and go back to gray again""
So he said

[Chorus]
""Head south! Head south!""
""Head south! Head south!"" (Head south)
""Head south! Head south!""
""Head south! Head south!"" (Head south)
""Head south! Head south!""
""Head south! Head south!"" (Head south)
""Head south! Head south!""
""Head south! Head south!"" (Head south)
[Verse 2]
Struck by being ashamed of your old space
Just wanting that mean heat
You bleached your hair and you pawned your skis
And then you sold out for the shade of the palm tree scene
Surrounded, cut off jeans and cut off jeans are
What you mean when you say

[Chorus]
""Head south! Head south!""
""Head south! Head south!"" (Head south)
""Head south! Head south!""
""Head south! Head south!"" (Head south)
""Head south! Head south!""
""Head south! Head south!"" (Head south)
""Head south! Head south!""
""Head south! Head south!"" (Head south)1Embed"
104,Education,We Were Dead Before the Ship Even Sank,"Education Lyrics[Verse 1]
Call it education
It was somewhere in between
You gave me some sound advice
But I wasn't listening
After we had capsized
I could tell you how you thought
Well, I'm not sure if I'd laid to rest
On the ceiling or the wall

[Verse 2]
Not quite conversation
It was somewhere in between
You said everything is taught
And I listened patiently
All this dog and pony
We're still monkeys the whole time
We could not help from flinging shit
In our modern suits and ties
[Verse 3]
Our instincts, they were cringing
About how we lived our lives
It didn't seem we'd lived enough
To even get to die
All these dense distractions
So beautifully complex
Well, I love life's surprises so much
I don't want to know what's up ahead

[Chorus]
Stubborn shouted and said
""I don't do what you do""
I don't know, couldn't really hear
Hardly if you hardly care, and you don't
Stubborn beauty, stubborn beauty
Oh, very well

[Verse 4]
Hardly education
It was somewhere in between
Oh, I hit the roof but I had
Aimed for the ceiling

[Verse 5]
Hardly education
All them books I didn't read
They just sat there on my shelf
Looking much smarter than me
Good old Nostradamus
He knew the whole damn time
There'd always be an East from West
And someone in there fighting
[Chorus]
Stubborn shouted and said
""I don't do what you do""
I don't know, couldn't really hear
Hardly if you hardly care, and just don't
Stubborn beauty, stubborn beauty
Oh, very well

[Outro]
Stubborn beauty, stubborn beauty
I don't know anyway
Stubborn beauty, stubborn beauty
I don't know, couldn't really hear
Hardly if you hardly care, as you don't
Stubborn beauty, stubborn beauty
Oh, oh, very well then
Stubborn beauty, stubborn beauty
Oh, very well, then
Stubborn beauty, stubborn beauty
Oh, very well, then
Stubborn beauty, stubborn beauty
Oh, very well, then
Oh, very well, thenEmbed"
105,Might,This Is a Long Drive for Someone with Nothing to Think About,"Might Lyrics[Verse 1]
I might
And you might
But neither of us do, though
And neither of us will
I broke every bone in my goddamn jaw
That's a lot, it's the last one I ever got

[Verse 2]
I might
And you might
But neither of us do, though
And neither of us will
Yesterday night I broke every bone in my jaw
Laughed so loud, it’s the last thing I ever gotEmbed"
106,A Life of Arctic Sounds,Building Nothing Out of Something,"A Life of Arctic Sounds Lyrics[Verse 1]
As long as you're gone
I can't apologize
For all the things that I haven't said and done

[Verse 2]
And 100 miles is a long drive inside a car
200 miles is a long drive inside a car
300 miles is a long drive inside a car
400 miles is a long drive inside a car
500 miles is a real, long drive in a car
600 miles is a long drive inside a car
700 miles is a long drive inside a car
800 miles is a long drive inside a car
900 miles is a long, long, long, long ways in a car
And 1000 miles is a long drive inside a car!
1100 miles is too far inside a car
[Verse 3]
I wrote my name on the sun
Hey, all right, I might be goddamned
A life of arctic sounds
Hey, all right, I might be goddamned
All the sad comedians
Hey, all right, I might be goddamned
I wrote my name on the sun
Hey, all right, I might be goddamned
A life of arctic sounds
Hey, all right, I might be goddamned
All the sad comedians
Hey, all right, I might be...
Goddamned3Embed"
107,I Came as a Rat,The Moon & Antarctica,"I Came as a Rat Lyrics[Verse 1]
Well, I ain't sure, but I've been told he's baking cakes inside our souls
Stayed awake, took a nap, got myself my bottles back
I'm breaking them out on the street, walking around in my bare feet
I do not need you to tell me that I am not a cat

[Verse 2]
I caught a ride, we caught some air, he's never gonna cut his hair
It takes more time to make a fake, we night swam down in the lake
And washed the dirt off our intentions
Prattled on about bad inventions

[Verse 3]
I came as ice, I came as a whore
I came as advice that came too sure
I came as gold, I came as crap
I came clean and I came as a rat
It takes a long time but God dies too
But not before he'll stick it to you
[Chorus]
Well, I don't know, but I been told
You'll never die when you'll never grow old
Hey-oh yo, hey-oh yo, hey-oh yo
Hey-oh hey-o-o-o-o-oh!

[Verse 4]
I came as a call, I came as flat
I came too soon so I came back
I came as flowers, I came as nice
I came as dirt and I came as a surprise
It takes a long time, but God dies too
But not before he'll stick it to you

[Chorus]
I don't know, but I been told
You'll never die when you'll never grow old
Hey-oh yo, hey-oh yo, hey-oh yo
Hey-oh hey-o-o-o-o-oh!
Hey-oh yo, hey-oh yo, hey-oh yo
Hey-oh hey-o-o-o-o-oh!Embed"
108,Invisible,We Were Dead Before the Ship Even Sank,"Invisible Lyrics[Verse 1]
Oh, well listen, dance and shift, you got a strong cellphone arm
Well, you're not invisible inside your car
No matter what consuming sort of mission you're on
Well, you're not invisible inside your car

[Verse 2]
I'm so absolutely mental, gonna ramble and charge
Well, you're not invisible inside your car
No matter, you should breathe it like your flies in a jar
Yeah, you're not invisible

[Chorus]
I like the saline tea
Well, it's true that the moon could pull it back and forth away from me
I should just let it be
Well, it's true that the moon could pull it back and forth away from me
And it's sad--
[Verse 3]
Oh, it had to happen sometime, gonna shake like a charm
Well, you weren't invisible, not all along
No matter how many eons came and are gone
We were not invisible, I knew that

[Chorus]
I like the saline tea
Well, it's true that the moon could pull it back and forth away from me
And there's the orphan sea
We were never invisible but that I guess we did not see

[Bridge]
Of course this all had been laid down
Way before we laid down for it all
Before we had a course, of course
Of course this all had been laid down
Of course we laid down, of course we laid down
Of course we laid down, of course we laid down
Of course we laid down, of course we laid down

[Chorus]
I like the saline tea
Well, it's true that the moon can pull it back and forth away from me
And like the orphan sea
Well, we were never invisible but that I guess we did not see
[Outro]
We'll get crushed by the ocean but it will not get us wet
Crushed by the ocean but it will not get us wet
Crushed by the ocean but it will not get us wet
Crushed by the ocean but it will not get us wetEmbed"
109,Lace Your Shoes,The Golden Casket,"Lace Your Shoes Lyrics[Verse 1]
I can't wait to see you lace your shoes
Things were hazy, but that all stopped with you
We pass by headstones on a walk
I overthink something, then I forget I should talk
I can't wait to see you go to school
I hate that this will happen, but I know that it will happen
Someone's gonna be cruel
I can't believe the stork didn't need a crane
One, then two, then three of you, I'm working to be better
So that you get to do the same
We counted dark spots on the moon
The stars were barely visible, I know that I should let you
Count them far from this city roof

[Chorus]
'Cause the sunshine pours out of your mouth and eyes
'Cause the sunshine spills out your mouth and eyes
And out onto the floor and I
Can't see nothing anymore
No, I can't see nothing anymore
No, I can't see anything no more
It fills the sky all the way from the floor
And I
And I don't bother looking away from it
And I can't see nothing anymore
No, I can't see nothing anymore
No, I can't see nothing anymore
'Cause it fills the sky all the way from the floor
[Verse 2]
I can't wait to see you go to school
I can't make out all the words you say
Your sister just makes noises like some sort of bird
That I just cannot seem to place
I spend too much time out on the deck
Staring out at nothing, while nothing at all
Blankly stares right back
And I hope there's still something left for you
I can't wait to see which paths you choose
So that you can see animals
Far away from the stupid city zoo

[Chorus]
'Cause the sunshine pours out of your mouth and eyes
'Cause the sunshine spills out your mouth and eyes
And out all on the floor and I
Can't see nothing anymore
No, I can't see nothing anymore
Well, I can't see nothing anymore
It fills the sky all the way from the floor
And I
And I don't bother looking away from
And I can't see nothing anymore
No, I can't see nothing anymore
No, I can't see nothing anymore
'Cause it fills the sky all the way from the floor
[Outro]
And I can't wait to see you go to school
Well, I can't wait to see you lace your shoes
(I can't wait to see you go to school)
(I can't wait to see which paths you choose)
And I can't wait to see you go to school
(I can't wait to see you give 'em hell)
And I can't wait to see you go to school
I can't wait to see you lace your shoesEmbed"
110,Never Fuck a Spider on the Fly,The Golden Casket,"Never Fuck a Spider on the Fly Lyrics[Verse 1]
The air is whizzing by, the spider watched us fly
And at best, you could say you were obliged
Well, we sing the spider's song and the words are too, too long
And it scared me just to say I'll carry on, the carrion
It takes a lot of pay-no-mind with your cellular gadgets on
Oh, our lives don't seem to float, you think you know, you just don't know
Why you should never fuck a spider on the fly

[Chorus]
Well, if you fuck a spider on the fly
You're gonna, gonna, gonna get the news
Yeah, there's a lot of webs
Sure, there's enough for you

[Verse 2]
The last thing I should say won't be spoken anyways
And as I got to move...
Well, there's a lotta things I shoulda done
I shoulda oughta, probably oughta do
[Chorus]
So you should never fuck a spider on the fly
If you do, you're gonna find out soon
There's still some web for you
What you gonna do?

[Bridge]
It doesn't matter what they don't know
They really, really want you to know
So they'll tap, tap, tap no matter where you go, oh
Peeping Toms at every window
Dangling a leash for your throat
Peeping and tapping, looking into every single window

[Verse 3]
Oh, I don't care for politics and it doesn't care for me
I don't like being watched by the TV
Well, there's a lot of news, a lot of news, a lot of news, a lot of news
And it all works as a web for you

[Chorus]
Well, you should never fuck a spider on the fly
If you really, really want to move
'Cause we're all food
And there's the web for you
Well, if you fuck a spider on the fly
You're gonna, gonna, gonna get the news
There's a lot of webs
Yeah, there's a web for you
[Bridge 2]
Peeping Toms at every window
Dangling a leash for your throat
Peeping and smudging, looking into every window
It doesn't matter what they don't know
They really, really want you to know
So they'll tap, tap, tap, tap, tap on every window, oh

[Verse 4]
They zoom in, you can't zoom out, oh, your head's my house now
I live in every corner of your mind, I ain't coming out
I have a lot to do
To become you
Well, I ain't taking orders, but they're still givin' them out
I'm lost over international waters in the cloud
I got, got, got, got, got, got, got some news

[Chorus]
Well, you should never fuck a spider on the fly
If you really, really want to move
There's a lot of webs
And there's enough for you
Well, if you fuck a spider on the fly
You're gonna, gonna, gonna get the news
There's a lot of webs
Yeah, there's a web for you1Embed"
